position,token,surprisal_bits,category
271, as,9.547780990600586,boilerplate
272, a,0.31948357820510864,boilerplate
273, result,0.01164767425507307,boilerplate
274, of,0.0002737704198807478,boilerplate
275, her,4.604428291320801,boilerplate
276, fall,0.016831235960125923,clinical_entity
277,.,0.07790771871805191,boilerplate
278, She,0.7190645337104797,boilerplate
279, had,0.6937305927276611,boilerplate
280, a,0.8212199211120605,boilerplate
281, past,3.278956413269043,boilerplate
282, history,2.1682004928588867,boilerplate
283, of,0.000509150791913271,boilerplate
284, a,7.845825672149658,boilerplate
285, por,13.993873596191406,boilerplate
286,c,0.0050116307102143764,boilerplate
287,ine,1.0318955219190684e-06,boilerplate
288, a,2.2387070655822754,boilerplate
289,ortic,1.272665940632578e-05,clinical_entity
290, valve,0.001331906532868743,clinical_entity
291, replacement,0.23852574825286865,clinical_entity
292, ,2.032257080078125,boilerplate
293,1,1.2819408178329468,numeric
294,7,6.613027095794678,numeric
295, years,0.007129266392439604,boilerplate
296, previously,2.7340469360351562,boilerplate
297,",",0.9334743618965149,boilerplate
298, hypertension,6.602423667907715,clinical_entity
299, and,2.1725034713745117,boilerplate
300, atr,0.46982085704803467,boilerplate
301,ial,2.4421327907475643e-05,boilerplate
302, fibr,0.011391240172088146,clinical_entity
303,illation,1.926192817336414e-05,clinical_entity
304, for,2.407663345336914,boilerplate
305, which,0.09750879555940628,boilerplate
306, she,0.003241324797272682,boilerplate
307, was,0.09241632372140884,boilerplate
308, on,0.20734669268131256,boilerplate
309, war,0.1639203429222107,boilerplate
310,far,1.7198263435602712e-07,boilerplate
311,in,-0.0,boilerplate
312,.,0.7274104356765747,boilerplate
313, On,2.10432505607605,boilerplate
314, examination,0.9314744472503662,boilerplate
315, she,1.2729477882385254,boilerplate
316, was,0.6975043416023254,boilerplate
317, t,2.1382546424865723,boilerplate
318,ach,1.3242603927210439e-05,boilerplate
319,yc,0.5586676001548767,boilerplate
320,ard,1.7198263435602712e-07,boilerplate
321,ic,3.783568536164239e-05,boilerplate
322,",",1.0551397800445557,boilerplate
323, hypert,4.850800514221191,clinical_entity
324,ensive,2.7860918635269627e-05,boilerplate
325, and,1.5981247425079346,boilerplate
326, her,5.190963268280029,boilerplate
327, jug,6.368291854858398,boilerplate
328,ular,0.00020653638057410717,clinical_entity
329, ven,0.5083380937576294,boilerplate
330,ous,0.0016085165552794933,boilerplate
331, pressure,0.026687216013669968,clinical_entity
332, was,0.06598503142595291,boilerplate
333, elevated,2.0261728763580322,boilerplate
334,.,0.10022921860218048,boilerplate
335, She,1.4332332611083984,boilerplate
336, had,0.3963233530521393,boilerplate
337, coarse,10.576359748840332,boilerplate
338, crack,0.24279628694057465,clinical_entity
339,les,0.0006294911145232618,boilerplate
340, throughout,4.929620742797852,boilerplate
341, both,1.229227066040039,boilerplate
342, lungs,0.8717015981674194,boilerplate
343,.,0.9735108017921448,boilerplate
344, Ar,8.451874732971191,boilerplate
345,ter,1.7198254909089883e-06,boilerplate
346,ial,2.407755118838395e-06,boilerplate
347, blood,0.010927393101155758,clinical_entity
348, gases,1.768093228340149,boilerplate
349, on,2.7839877605438232,boilerplate
350, ,2.133391857147217,boilerplate
351,1,0.4066949784755707,numeric
352,5,2.7633957862854004,numeric
353, litres,4.356805324554443,boilerplate
354, oxygen,4.298227310180664,clinical_entity
355, showed,0.2895165979862213,boilerplate
356, severe,6.809054374694824,boilerplate
357, type,7.1091461181640625,clinical_entity
358, ,0.5721732974052429,boilerplate
359,2,4.743987083435059,numeric
360, respiratory,0.006338407285511494,clinical_entity
361, failure,0.0009971546242013574,clinical_entity
362, with,1.117438554763794,boilerplate
363, pH,2.086275339126587,boilerplate
364, of,2.3177878856658936,boilerplate
365, ,0.00028322762227617204,boilerplate
366,7,0.07952042669057846,numeric
367,.,0.0024696195032447577,boilerplate
368,1,2.5398387908935547,numeric
369,5,3.0728907585144043,numeric
370,",",0.3032084107398987,boilerplate
371, p,1.2947051525115967,boilerplate
372,CO,0.30135035514831543,boilerplate
373,2,0.012279437854886055,numeric
374, ,3.391296863555908,boilerplate
375,9,3.516312599182129,numeric
376,.,0.20045579969882965,boilerplate
377,1,3.8736660480499268,numeric
378,2,11.678914070129395,numeric
379,",",4.424450874328613,boilerplate
380, p,0.10621466487646103,boilerplate
381,O,0.004971697460860014,boilerplate
382,2,0.00012244645040482283,numeric
383, ,0.08077491819858551,boilerplate
384,1,2.8970401287078857,numeric
385,0,1.9540657997131348,numeric
386,.,0.3356958031654358,boilerplate
387,2,3.0126514434814453,numeric
388,2,6.675905704498291,numeric
389, and,1.0920848846435547,boilerplate
390, bic,1.3146194219589233,boilerplate
391,arbonate,0.002342736115679145,clinical_entity
392, of,0.5810672640800476,boilerplate
393, ,0.00010352984099881724,boilerplate
394,2,0.5621925592422485,numeric
395,2,2.866429567337036,numeric
396,.,0.2201816886663437,boilerplate
397,8,3.1247870922088623,numeric
398, mm,1.380474328994751,boilerplate
399,ol,0.015727423131465912,boilerplate
400,/l,0.9348320364952087,boilerplate
401,.,0.09654191881418228,boilerplate
402, Laboratory,13.994566917419434,boilerplate
403, results,1.766535758972168,boilerplate
404, showed,0.4239583909511566,boilerplate
405, a,1.5805919170379639,boilerplate
406, ha,3.41959285736084,boilerplate
407,em,0.00970664992928505,boilerplate
408,oglobin,4.677852484746836e-05,clinical_entity
409, of,0.028838708996772766,boilerplate
