position,token,surprisal_bits,category
164,ine,2.35614315897692e-05,boilerplate
165, inhibitor,12.435404777526855,boilerplate
166, is,3.638416051864624,boilerplate
167, recommended,4.435619831085205,boilerplate
168, to,5.2022809982299805,boilerplate
169, prevent,1.3523305654525757,boilerplate
170, in,7.472507953643799,boilerplate
171,-st,0.0016427027294412255,boilerplate
172,ent,-0.0,boilerplate
173, throm,0.12357109040021896,clinical_entity
174,b,0.0008213272667489946,boilerplate
175,osis,3.783613237828831e-06,boilerplate
176, but,5.6424336433410645,boilerplate
177, is,1.7161210775375366,boilerplate
178, inferior,6.1861138343811035,boilerplate
179, to,0.5362544655799866,boilerplate
180, war,4.013039588928223,boilerplate
181,far,1.2038780141665484e-06,boilerplate
182,in,-0.0,boilerplate
183, or,1.5293684005737305,boilerplate
184, the,3.791003942489624,boilerplate
185, newer,1.3647055625915527,boilerplate
186, oral,3.5992136001586914,boilerplate
187, ant,0.038260769098997116,boilerplate
188,ico,3.1644460250390694e-05,boilerplate
189,ag,9.287033208238427e-06,boilerplate
190,ul,0.004157360177487135,boilerplate
191,ants,4.9874884098244365e-06,boilerplate
192, for,2.238403797149658,boilerplate
193, the,1.4042505025863647,boilerplate
194, prevention,0.149457186460495,boilerplate
195, of,0.0035110495518893003,boilerplate
196, stroke,0.3074343204498291,boilerplate
197, in,0.14661496877670288,boilerplate
198, atr,0.839289665222168,boilerplate
199,ial,2.751719648586004e-06,boilerplate
200, fibr,0.0017947261221706867,clinical_entity
201,illation,6.879304237372708e-07,clinical_entity
202,.,0.18470041453838348,boilerplate
203, As,8.919331550598145,boilerplate
204, a,1.3997796773910522,boilerplate
205, result,0.0807541012763977,boilerplate
206,",",0.014439225196838379,boilerplate
207, some,4.444015026092529,boilerplate
208, clinicians,1.6434955596923828,boilerplate
209, have,1.312670350074768,boilerplate
210, utilized,8.881728172302246,boilerplate
211, both,10.164989471435547,boilerplate
212, gold,15.334691047668457,boilerplate
213, standard,0.8381157517433167,boilerplate
214, therapies,0.3282265067100525,boilerplate
215, simultaneously,2.6977925300598145,boilerplate
216,",",1.1719948053359985,boilerplate
217, resulting,2.7390854358673096,boilerplate
218, in,0.0014173006638884544,boilerplate
219, triple,1.7717441320419312,clinical_entity
220, oral,13.13239860534668,boilerplate
221, ant,0.2305067479610443,boilerplate
222,ith,1.6401602029800415,boilerplate
223,rom,3.4396526871205424e-07,boilerplate
224,bot,0.0012334480416029692,boilerplate
225,ic,0.0007039252086542547,boilerplate
226, therapy,0.05006318539381027,clinical_entity
227,.,2.718628406524658,boilerplate
228, While,3.036130666732788,boilerplate
229, this,2.0157651901245117,boilerplate
230, strategy,3.0202884674072266,boilerplate
231, theoretically,7.112884521484375,boilerplate
232, minim,7.861943244934082,boilerplate
233,izes,0.0006322416593320668,boilerplate
234, the,0.6566264629364014,boilerplate
235, risk,0.0845615491271019,clinical_entity
236, of,0.0277511328458786,boilerplate
237, throm,1.0938225984573364,clinical_entity
238,bot,0.2498900294303894,boilerplate
239,ic,2.407755118838395e-06,boilerplate
240, complications,1.6804019212722778,boilerplate
241,",",1.1293096542358398,boilerplate
242, it,0.684861421585083,boilerplate
243, may,2.648456335067749,boilerplate
244, increase,1.9289915561676025,boilerplate
245, the,0.25118881464004517,boilerplate
246, risk,0.15178582072257996,clinical_entity
247, of,0.03401052951812744,boilerplate
248, bleeding,0.14884209632873535,clinical_entity
249, beyond,11.18016242980957,boilerplate
250, the,2.534146785736084,boilerplate
251, benefits,10.246932983398438,boilerplate
252, gained,3.5222740173339844,boilerplate
253,.,0.9234417676925659,boilerplate
254, The,2.774879217147827,boilerplate
255, net,12.647326469421387,boilerplate
256, risk,3.5440332889556885,clinical_entity
257,-b,0.5710026621818542,boilerplate
258,enefit,1.7714104615151882e-05,boilerplate
259, ratio,1.6170634031295776,boilerplate
260, for,3.8237123489379883,boilerplate
261, patients,5.368927478790283,boilerplate
262, on,3.2921736240386963,boilerplate
263, triple,0.2873554527759552,clinical_entity
264, ant,1.9310672283172607,boilerplate
265,ith,0.04856818914413452,boilerplate
266,rom,-0.0,boilerplate
267,bot,0.0001095487896236591,boilerplate
268,ic,-0.0,boilerplate
269, therapy,0.024176549166440964,clinical_entity
270, should,6.95314359664917,boilerplate
271, drive,16.688871383666992,boilerplate
272, treatment,3.3143575191497803,boilerplate
273, decisions,0.28131103515625,boilerplate
274,",",1.519597053527832,boilerplate
275, yet,5.409641265869141,boilerplate
276, it,5.020405292510986,boilerplate
277, is,0.6796413660049438,boilerplate
278, often,3.6168580055236816,boilerplate
279, unclear,1.1391525268554688,boilerplate
280,".

",4.566069602966309,boilerplate
281,2,3.717350721359253,numeric
282,.,0.0005663996562361717,boilerplate
283, Case,0.04842251539230347,boilerplate
